Incident_Number,Exposure_Number,ID,Address,Incident_Date,Call_Number,Alarm_DtTm,Arrival_DtTm,Close_DtTm,City,ZIP_Code,Battalion,Station_Area,Box,Suppression_Units,Suppression_Personnel,EMS_Units,EMS_Personnel,Other_Units,Other_Personnel,First_Unit_On_Scene,Estimated_Property_Loss,Estimated_Contents_Loss,Fire_Fatalities,Fire_Injuries,Civilian_Fatalities,Civilian_Injuries,Number_of_Alarms,Primary_Situation,Mutual_Aid,Action_Taken_Primary,Action_Taken_Secondary,Action_Taken_Other,Detector_Alerted_Occupants,Property_Use,Area_of_Fire_Origin,Ignition_Cause,Ignition_Factor_Primary,Ignition_Factor_Secondary,Heat_Source,Item_First_Ignited,Human_Factors_Associated_with_Ignition,Structure_Type,Structure_Status,Floor_of_Fire_Origin,Fire_Spread,No_Flame_Spead,Number_of_floors_with_minimum_damage,Number_of_floors_with_significant_damage,Number_of_floors_with_heavy_damage,Number_of_floors_with_extreme_damage,Detectors_Present,Detector_Type,Detector_Operation,Detector_Effectiveness,Detector_Failure_Reason,Automatic_Extinguishing_System_Present,Automatic_Extinguishing_Sytem_Type,Automatic_Extinguishing_Sytem_Perfomance,Automatic_Extinguishing_Sytem_Failure_Reason,Number_of_Sprinkler_Heads_Operating,Supervisor_District,Analysis_Neighborhood,point,Neighborhoods_old,Zip_Codes,Fire_Prevention_Districts,Police_Districts,Supervisor_Districts,Civic_Center_Harm_Reduction_Project_Boundary,Fix_It_Zones_2017,HSOC_Zones,Central_Market_Tenderloin_Boundary,Central_Market_Tenderloin_Boundary_Polygon_Updated,HSOC_Zones_as_of_2018_06_05,Neighborhoods,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
14059818,0,140598180,1775 Yosemite Avenue,06/22/2014,141733069,06/22/2014 09:26:17 PM,,06/22/2014 09:32:54 PM,San Francisco,94124,B10,17,6512,10,24,1,2,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.394987 37.72865700003),1,58,10,3,8,,,,,,,86,86,2,9,1
18066225,0,180662250,Gateview/bayside,06/05/2018,181563203,06/05/2018 06:38:01 PM,06/05/2018 06:41:59 PM,06/05/2018 06:42:12 PM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"500 service call, other",n none,86 investigate,,,,"000 property use, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14029955,0,140299550,74 New Montgomery Street,03/30/2014,140890166,03/30/2014 12:51:49 PM,,03/30/2014 12:53:06 PM,SAN FRANCISCO,94105,B03,01,2157,1,1,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,599 business office,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Financial District/South Beach,POINT (-122.40104302000002 37.78767089003),6,28855,12,2,9,,,,,,,32,32,6,10,8
19102786,0,191027860,Bayside Drive,08/29/2019,192413977,08/29/2019 08:09:25 PM,08/29/2019 08:11:54 PM,08/29/2019 08:12:24 PM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,"00 action taken, other",,,,nnn none,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051237,0,140512370,280 Nb,06/03/2014,141492212,06/03/2014 03:28:23 PM,,06/03/2014 03:40:12 PM,San Francisco,94107,B10,25,2612,1,4,1,2,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,961 highway or divided highway,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.392306 37.76091400003),29,28856,10,3,8,,,,,,,55,55,2,9,26
18070090,0,180700900,Ave B,06/14/2018,181653562,06/14/2018 08:37:56 PM,06/14/2018 08:40:37 PM,06/14/2018 08:40:52 PM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,"960 street, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18107681,0,181076810,Bayside Drive/gateview Avenur,09/13/2018,182563615,09/13/2018 08:30:38 PM,09/13/2018 08:34:11 PM,09/13/2018 08:34:29 PM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,"000 property use, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15128064,0,151280640,2791 16th Street,11/29/2015,153331606,11/29/2015 01:29:09 PM,,11/29/2015 01:31:44 PM,San Francisco,94110,B02,07,5237,3,11,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,9,Mission,POINT (-122.41505 37.765263000030004),19,28859,8,4,7,,,3,,,3,53,53,3,2,20
16015628,0,160156280,900 North Access Road,02/08/2016,160391838,02/08/2016 01:28:15 PM,02/08/2016 01:28:15 PM,02/08/2016 01:28:15 PM,,,B99,,,1,4,0,0,0,0,,,,0,0,0,0,,"500 service call, other",n none,"00 action taken, other",,,,"500 mercantile, business, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18141031,0,181410310,Bayside Drive,12/02/2018,183361255,12/02/2018 10:52:18 AM,12/02/2018 10:56:03 AM,12/02/2018 10:56:21 AM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,"962 residential street, road or residential driveway",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15041601,0,150416010,1145 Stanyan,04/20/2015,151101664,04/20/2015 12:22:19 PM,04/20/2015 12:22:19 PM,04/20/2015 12:29:26 PM,,,B07,,,1,4,0,0,0,0,,,,0,0,0,0,,511 lock-out,n none,"70 assistance, other",,,,"960 street, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15140031,0,151400310,324 14th Street,12/29/2015,153632911,12/29/2015 07:12:35 PM,,12/29/2015 07:16:32 PM,San Francisco,94103,B02,36,5215,1,4,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,"962 residential street, road or residential driveway",,,,,,,,,,,,na,,,,,,,,,,,,,,,9,Mission,POINT (-122.42060999999998 37.76830300003),19,28853,8,4,7,,,3,,,3,53,53,3,2,20
18150401,0,181504010,1731 Ingalls Street,12/24/2018,183581669,12/24/2018 02:03:57 PM,12/24/2018 02:08:11 PM,12/24/2018 02:21:45 PM,,,B10,17,6653,1,4,0,0,0,0,,,,0,0,0,0,,"400 hazardous condition, other",n none,"70 assistance, other",,,,419 1 or 2 family dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15062395,0,150623950,05 Turk,06/12/2015,151632682,06/12/2015 04:57:10 PM,06/12/2015 04:57:10 PM,06/12/2015 04:57:10 PM,,,B04,,,1,4,0,0,0,0,,800,100,0,0,0,0,,131 passenger vehicle fire,n none,73 provide manpower,,,,"962 residential street, road or residential driveway","83 engine area, running gear, wheel area",2 unintentional,11 abandoned or discarded materials or products,,"40 hot or smoldering object, other","30 soft goods, wearing apparel, other",n none,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19018262,0,190182620,Bayside Drive,02/12/2019,190433277,02/12/2019 05:56:22 PM,02/12/2019 05:59:28 PM,02/12/2019 06:00:14 PM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"711 municipal alarm system, malicious false alarm",n none,86 investigate,,,,nnn none,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15030614,0,150306140,790 22nd Avenue,03/21/2015,150801277,03/21/2015 11:08:07 AM,,03/21/2015 11:11:25 AM,San Francisco,94121,B07,14,7177,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,429 multifamily dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,1,Outer Richmond,POINT (-122.480909 37.77292900003),26,55,11,6,2,,,,,,,8,8,8,4,29
19056873,0,190568730,513 Parnassus Avenue,05/14/2019,191341798,05/14/2019 12:52:45 PM,05/14/2019 12:55:10 PM,05/14/2019 01:13:30 PM,,,B05,12,7323,3,10,0,0,0,0,,,,0,0,0,0,,"743 smoke detector activation, no fire - unintentional",n none,86 investigate,63 restore fire alarm system,,,331 hospital - medical or psychiatric,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15069453,0,150694530,967 Connecticut Street,07/01/2015,151821526,07/01/2015 11:50:38 AM,,07/01/2015 11:59:21 AM,San Francisco,94107,B10,37,2615,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.397444 37.75397000003),29,28856,10,3,8,,,,,,,54,54,2,9,26
16012170,0,160121700,Crocker Amazon Rec Center,01/31/2016,160311864,01/31/2016 01:34:18 PM,01/31/2016 01:34:18 PM,01/31/2016 01:44:03 PM,,,B09,,,1,4,0,0,0,0,,,,0,0,0,0,,"550 public service assistance, other",n none,83 provide information to public or media,,,,"110 fixed-use recreation places, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17144934,0,171449340,0 Oxford Street,12/12/2017,173460758,12/12/2017 08:14:47 AM,12/12/2017 08:20:12 AM,12/12/2017 08:23:49 AM,,,B09,42,6145,1,4,0,0,0,0,,,,0,0,0,0,,"500 service call, other",n none,"80 information, investigation & enforcement, other",,,,nnn none,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16023633,0,160236330,354 Country Club Drive,02/28/2016,160592723,02/28/2016 06:45:00 PM,,02/28/2016 06:48:21 PM,San Francisco,94132,B08,19,8824,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,7,Sunset/Parkside,POINT (-122.495198 37.73270900003),35,64,1,8,4,,,,,,,43,43,10,8,35
16146241,0,161462410,Pacific/fillmore,12/30/2016,163651066,12/30/2016 10:11:29 AM,12/30/2016 10:11:29 AM,12/30/2016 10:12:20 AM,,,B03,,,1,5,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,"00 action taken, other",,,,uuu undetermined,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18096796,0,180967960,13th And Gateview,08/17/2018,182293773,08/17/2018 08:43:54 PM,08/17/2018 08:47:16 PM,08/17/2018 08:47:48 PM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,"00 action taken, other",,,,nnn none,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16055970,0,160559700,1232 Connecticut Street,05/21/2016,161420733,05/21/2016 07:41:01 AM,,05/21/2016 07:44:29 AM,San Francisco,94107,B10,37,2615,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.39645100000001 37.75068200003),1,28856,10,3,8,,,,,,,54,54,2,9,1
16075530,0,160755300,1 Ti,07/09/2016,161912102,07/09/2016 04:42:58 PM,07/09/2016 04:42:58 PM,07/09/2016 04:51:21 PM,Treasure Isla,,B03,,,1,4,0,0,0,0,,,,0,0,0,0,,"745 alarm system activation, no fire - unintentional",n none,"80 information, investigation & enforcement, other",,,,"150 public or government, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17085713,0,170857130,2136 Broderick Street,07/23/2017,172041251,07/23/2017 10:30:29 AM,07/23/2017 10:34:09 AM,07/23/2017 10:42:19 AM,,,B04,10,4232,3,10,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,429 multifamily dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17088879,0,170888790,0 3rd,07/31/2017,172121279,07/31/2017 10:26:09 AM,07/31/2017 10:26:09 AM,07/31/2017 10:31:24 AM,,,B10,,,1,4,0,0,0,0,,,,0,0,0,0,,"151 outside rubbish, trash or waste fire",n none,87 investigate fire out on arrival,,,,963 street or road in commercial area,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17115667,0,171156670,0 El Camino Del Mar,10/02/2017,172752038,10/02/2017 01:02:45 PM,10/02/2017 01:07:29 PM,10/02/2017 02:22:36 PM,,,B07,14,7232,1,4,1,2,0,0,,,,0,0,0,0,,"311 medical assist, assist ems crew",n none,31 provide first aid & check for injuries,,,,419 1 or 2 family dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17023812,0,170238120,200 Central Avenue,02/24/2017,170552720,02/24/2017 04:27:16 PM,02/24/2017 04:27:16 PM,02/24/2017 04:28:13 PM,,,B06,,,1,4,0,0,0,0,,,,0,0,0,0,,"360 water & ice-related rescue, other",n none,"50 fires, rescues & hazardous conditions, other",,,,"940 water area, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16092514,0,160925140,150 9th Street,08/22/2016,162351548,08/22/2016 11:58:00 AM,,08/22/2016 12:00:25 PM,San Francisco,94103,B02,36,2336,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,South of Market,POINT (-122.414113 37.77537000003),34,28853,8,2,9,1,,1,1,1,1,32,32,1,10,34
18031371,0,180313710,25th,03/15/2018,180740239,03/15/2018 02:43:34 AM,03/15/2018 02:48:11 AM,03/15/2018 03:21:11 AM,,,B06,07,5526,2,9,0,0,1,1,,3000,500,0,0,0,0,,131 passenger vehicle fire,n none,11 extinguishment by fire service personnel,86 investigate,,,"960 street, other","92 highway, parking lot, street: on or near",1 intentional,"10 misuse of material or product, other",,64 match,"59 rolled, wound material (paper and fabrics)",n none,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17113562,0,171135620,John Shelley Drive,09/27/2017,172701667,09/27/2017 11:25:57 AM,09/27/2017 11:32:52 AM,,San Francisco,94134,B09,44,6322,9,33,0,0,2,3,,,,0,0,0,0,,"141 forest, woods or wildland fire",n none,11 extinguishment by fire service personnel,87 investigate fire out on arrival,,,"110 fixed-use recreation places, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,10,McLaren Park,POINT (-122.41417500000001 37.718126000030004),18,309,9,7,8,,,,,,,73,73,9,9,19
18009627,0,180096270,"351 Avenue H, Ti",01/23/2018,180230842,01/23/2018 08:55:01 AM,01/23/2018 09:00:09 AM,01/23/2018 09:10:45 AM,,,B03,48,2931,3,10,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,"241 adult education center, college classroom",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17138474,0,171384740,2531 Blanding Avenue,11/26/2017,173300821,11/26/2017 08:35:07 AM,11/26/2017 08:35:07 AM,11/26/2017 01:03:32 PM,,,B03,,,2,5,0,0,0,0,,,,0,0,0,0,,"360 water & ice-related rescue, other",n none,21 search,"23 extricate, disentangle",24 recover body,,"940 water area, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18025478,0,180254780,998 Hampshire Street,03/01/2018,180600609,03/01/2018 07:15:41 AM,03/01/2018 07:17:51 AM,03/01/2018 07:25:53 AM,,,B06,07,5451,3,10,0,0,0,0,,,,0,0,0,0,,"743 smoke detector activation, no fire - unintentional",n none,86 investigate,,,,419 1 or 2 family dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18021185,0,180211850,520 South Van Ness Avenue,02/19/2018,180500022,02/19/2018 12:10:58 AM,,02/19/2018 12:13:13 AM,San Francisco,94110,B02,07,5246,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,9,Mission,POINT (-122.41788099999998 37.76463400003),19,28859,8,4,7,,12,3,,,3,53,53,3,2,20
